,GEOID,number_of_facilities_in_tract,distance_nearest_facility
600,17031660301,0.0,1058.3054738700766
601,17031241000,0.0,1679.402714657441
602,17031241100,0.0,1947.6681694362726
603,17031842800,6.0,0.0
604,17031050900,0.0,426.8472275387238
605,17031040401,0.0,3040.8916788740758
606,17031835100,0.0,1066.9228917215094
607,17031661000,0.0,327.25542633106375
608,17031051400,0.0,47.937063625321215
609,17031700501,0.0,1042.5017893727786
610,17031010701,0.0,335.6980965771131
611,17031590500,0.0,1123.5772492261544
612,17031611600,0.0,1016.7321891280196
613,17031240300,0.0,684.1550588871519
614,17031243200,0.0,62.59556733447488
615,17031838100,0.0,279.4226791936966
616,17031031900,0.0,2823.733338672929
617,17031310700,1.0,0.0
618,17031672000,1.0,0.0
619,17031070600,0.0,780.7206801035294
620,17031010503,0.0,926.8077333056796
621,17031611200,0.0,352.27471269135765
622,17031671100,0.0,1924.4596271422272
623,17031671900,0.0,934.1384683108747
624,17031243400,0.0,350.07482804976917
625,17031060500,0.0,2506.8545298196314
626,17031842900,2.0,0.0
627,17031611100,0.0,255.49783331806583
628,17031670900,0.0,2665.0890660086675
629,17031031502,0.0,3943.025592147469
630,17031832600,0.0,209.2714820123957
631,17031600900,0.0,474.29499669202715
632,17031750600,0.0,822.757834355847
633,17031061901,0.0,3064.191114369317
634,17031063301,0.0,2423.570340274266
635,17031710100,0.0,1097.9143883241286
636,17031080400,3.0,0.0
637,17031840100,0.0,412.4558888728542
638,17031711500,0.0,125.97577112693892
639,17031491100,0.0,1771.20879768979
640,17031681200,0.0,783.2350440088217
641,17031080201,0.0,812.3712281361773
642,17031081100,0.0,1020.5237796307038
643,17031839100,0.0,590.2583219811852
644,17031351500,0.0,430.34243084257866
645,17031081500,0.0,1287.7367099395465
646,17031834000,0.0,175.30173011678477
647,17031491300,0.0,1314.4345089099877
648,17031839200,0.0,1480.144754400375
649,17031839500,0.0,1382.5636377107294
650,17031836100,0.0,2102.1979743763036
651,17031691400,0.0,1968.0071173989184
652,17031420400,0.0,1539.4447909604658
653,17031500300,0.0,478.2063710965138
654,17031500200,7.0,0.0
655,17031450300,0.0,1205.3471851760467
656,17031510300,0.0,456.5079944943405
657,17031460400,0.0,2367.0792926000568
658,17031510200,0.0,239.72316501358748
659,17031838800,36.0,0.0
660,17031460700,0.0,3032.984215583338
661,17031460200,0.0,3487.781681008146
662,17031461000,0.0,2410.5465185536323
663,17031833900,0.0,2635.9304138119132
